City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
54,Port Alfred,ZA,2021-10-06 20:20:38,-33.5906,26.891,65.16,84,29,22.57,scattered clouds,0,0
55,Boguchany,RU,2021-10-06 20:20:38,58.3814,97.4531,28.17,85,75,5.37,broken clouds,0,0
56,Bredasdorp,ZA,2021-10-06 20:20:38,-34.5322,20.0403,61.29,93,11,14.83,few clouds,0,0
57,College,US,2021-10-06 20:20:39,64.8569,-147.8028,42.22,72,75,5.75,broken clouds,0,0
58,Vila Velha,BR,2021-10-06 20:20:39,-20.3297,-40.2925,75.15,83,40,8.05,scattered clouds,0,0
59,Komsomolskiy,UZ,2021-10-06 20:20:39,40.4272,71.7189,51.22,76,53,4.61,broken clouds,0,0
60,Yellowknife,CA,2021-10-06 20:20:40,62.456,-114.3525,40.41,94,90,5.01,overcast clouds,0,0
61,Egvekinot,RU,2021-10-06 20:20:40,66.3167,-179.1667,25.95,85,100,16.35,overcast clouds,0,0
62,Waddan,LY,2021-10-06 20:20:40,29.1614,16.139,75.27,30,0,7.83,clear sky,0,0
63,Asheville,US,2021-10-06 20:17:18,35.6009,-82.554,72.27,86,90,1.01,overcast clouds,0,0
64,East London,ZA,2021-10-06 20:20:37,-33.0153,27.9116,66.4,81,84,17.94,light rain,0,0
65,Tuatapere,NZ,2021-10-06 20:19:53,-46.1333,167.6833,50.83,82,100,5.14,overcast clouds,0,0
66,Killam,CA,2021-10-06 20:20:42,52.7834,-111.8518,49.95,50,100,12.66,overcast clouds,0,0
67,Airai,TL,2021-10-06 20:20:48,-8.9266,125.4092,57.87,76,20,2.35,few clouds,0,0
68,Assiniboia,CA,2021-10-06 20:20:49,49.6334,-105.9845,76.82,16,100,10.36,overcast clouds,0,0
69,Dikson,RU,2021-10-06 20:20:49,73.5069,80.5464,31.32,83,100,9.06,overcast clouds,0,0
70,Altay,CN,2021-10-06 20:20:49,47.8667,88.1167,26.35,65,2,3.98,clear sky,0,0
